Číslo případu,Datum spáchání,Místo činu,Číslo zákona,Paragraf,Odstavec,Písmeno,Bod,Způsob vyřízení
0806,2023-12-01, (křižovatka s ul. Martinovská\, ve směru od DPO a.s.) ,361/2000,125f,1,,,pokuta
0705,2023-11-28, (před DPO a.s.) ,361/2000,125f,1,,,pokuta
0668,2023-11-27,  ,361/2000,125f,1,,,pokuta
0558,2023-11-23, (naproti domu\, u Dětského oddělení MNO) ,361/2000,125f,1,,,pokuta
0789,2023-11-30,  ,361/2000,125f,1,,,pokuta
0776,2023-11-30,  ,361/2000,125f,1,,,pokuta
0582,2023-11-24,  ,361/2000,125f,1,,,pokuta
0687,2023-11-27,  ,361/2000,125f,1,,,pokuta
0546,2023-11-20,  ,361/2000,125f,1,,,pokuta
0674,2023-11-27,  ,361/2000,125f,1,,,pokuta
0564,2023-11-23, (naproti domu) ,361/2000,125f,1,,,pokuta
0862,2023-11-20, v Ostravě na ulici Přemyslovců za křižovatkou s ulicí Emila Filly k ulici Novoveská ,361/2000,125f,1,,,pokuta
0811,2023-12-01,  ,361/2000,125f,1,,,pokuta
0774,2023-11-30,  ,361/2000,125f,1,,,pokuta
0710,2023-11-28, (vedle domu ul. Křižíkova 2860/16\, ve směru od ul. Bachmačská) ,361/2000,125f,1,,,pokuta
0646,2023-11-26,  ,361/2000,125f,1,,,pokuta
0634,2023-11-26,  ,361/2000,125f,1,,,pokuta
0815,2023-12-03,  ,361/2000,125f,1,,,pokuta
0803,2023-11-30,  ,361/2000,125f,1,,,pokuta
0664,2023-11-27,  ,361/2000,125f,1,,,pokuta
0650,2023-11-27,  ,361/2000,125f,1,,,pokuta
0566,2023-11-24, (křižovatka s ul. 1. československého armádního sboru) ,361/2000,125f,1,,,pokuta
0767,2023-11-29,  ,361/2000,125f,1,,,pokuta
0628,2023-11-25,  ,361/2000,125f,1,,,pokuta
0604,2023-11-25, (zadní část domu) ,361/2000,125f,1,,,pokuta
0580,2023-11-24,  ,361/2000,125f,1,,,pokuta
0556,2023-11-23, (naproti domu) ,361/2000,125f,1,,,pokuta
0597,2023-11-30,  ,361/2000,125f,1,,,pokuta
0609,2023-11-25,  ,361/2000,125f,1,,,pokuta
0621,2023-11-25,  ,361/2000,125f,1,,,pokuta
0747,2023-11-29,  ,361/2000,125f,1,,,pokuta
0730,2023-11-28,  ,361/2000,125f,1,,,pokuta
0593,2023-11-24,  ,361/2000,125f,1,,,pokuta
0744,2023-11-29,  ,361/2000,125f,1,,,pokuta
0654,2023-11-27, (dvorní část) ,361/2000,125f,1,,,pokuta
0742,2023-11-29,  ,361/2000,125f,1,,,pokuta
0809,2023-12-01,  ,361/2000,125f,1,,,pokuta
0797,2023-11-30, (naproti domu) ,361/2000,125f,1,,,pokuta
0759,2023-11-29, Křižovatka s ul. Pivovarská ,361/2000,125f,1,,,pokuta
0657,2023-11-27, Naproti ,361/2000,125f,1,,,pokuta
0620,2023-11-25,  ,361/2000,125f,1,,,pokuta
0640,2023-11-26, (naproti domu) ,361/2000,125f,1,,,pokuta
0696,2023-11-27,  ,361/2000,125f,1,,,pokuta
0702,2023-11-27,  ,361/2000,125f,1,,,pokuta
0549,2023-11-22, (Úřad práce) ,361/2000,125f,1,,,pokuta
0991,2024-01-04, v Ostravě na ulici Aviatiků\, sjezd z ulice Dr.Martínka ,361/2000,125c,1,k),,pokuta
0991,2024-01-04, v Ostravě na ulici Aviatiků\, sjezd z ulice Dr.Martínka ,361/2000,125c,1,c),,pokuta
0869,2024-01-06, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od Bazal směr Fifejdy ,361/2000,125f,1,,,pokuta
0883,2024-01-05, po ulici Třebovická ve směru jízdy k ulici Martinovská u budovy čp. 5116/110 ,361/2000,125f,1,,,pokuta
0877,2024-01-04, křižovatka Českobratrská-Sokolská třída v Moravské Ostravě\, od Bazal směr centrum ,361/2000,125f,1,,,pokuta
0882,2024-01-05, po ulici Třebovická ve směru jízdy k ulici Opavská u budovy čp. 5104/5 ,361/2000,125f,1,,,pokuta
0879,2024-01-05, po ulici Třebovická ve směru jízdy k ulici Opavská u budovy čp. 5104/5 ,361/2000,125f,1,,,pokuta
1004,2023-12-13, v Ostravě na ulici Horní x Plzeňská ,361/2000,125c,1,k),,pokuta
1005,2023-09-28,  ,56/2001,83,1,b),,pokuta
1006,2024-01-10, v Ostravě na ulici Rudná /ve směru jízdy z Poruby/ ke křižovatce s ulicí Závodní ,361/2000,125c,1,f),1,pokuta
1090,2023-11-22, v Ostravě na ulici Sokolská třída u křižovatky s ulicí Biskupská x 28.října ,361/2000,125c,1,f),6,pokuta
1090,2023-11-22, v Ostravě na ulici Sokolská třída u křižovatky s ulicí Biskupská x 28.října ,361/2000,125c,1,k),,pokuta
1091,2023-12-29,  ,361/2000,125c,4,b),,pokuta
1092,2023-10-21,  ,361/2000,125c,4,b),,pokuta
9969,2024-01-14, v Ostravě na ulici Sokolská třída č.p. 930/131 ,65/2022,7m,1,,,pokuta
0959,2023-12-07, (dvorní část poblíž domu č.pop. 768/95) ,361/2000,125f,1,,,pokuta
0948,2023-12-06,  ,361/2000,125f,1,,,pokuta
0915,2023-12-05, (křižovatka s ul. Svornosti\, ve směru k ul. Jižní) ,361/2000,125f,1,,,pokuta
0893,2023-12-05,  ,361/2000,125f,1,,,pokuta
0953,2023-12-07,  ,361/2000,125f,1,,,pokuta
0942,2023-12-06,  ,361/2000,125f,1,,,pokuta
0931,2023-12-06, Parkoviště NOSRETI ,361/2000,125f,1,,,pokuta
0898,2023-12-05,  ,361/2000,125f,1,,,pokuta
0887,2023-12-05,  ,361/2000,125f,1,,,pokuta
0932,2023-12-06, Parkoviště NOSRETI ,361/2000,125f,1,,,pokuta
0910,2023-12-05,  ,361/2000,125f,1,,,pokuta
0957,2023-12-07,  ,361/2000,125f,1,,,pokuta
0913,2023-12-05,  ,361/2000,125f,1,,,pokuta
0939,2023-12-06,  ,361/2000,125f,1,,,pokuta
0928,2023-12-06,  ,361/2000,125f,1,,,pokuta
0908,2023-12-05,  ,361/2000,125f,1,,,pokuta
0927,2023-12-06, Parkoviště NOSRETI ,361/2000,125f,1,,,pokuta
0894,2023-12-05,  ,361/2000,125f,1,,,pokuta
0934,2023-12-06,  ,361/2000,125f,1,,,pokuta
0923,2023-12-06, (vedle domu na ul. Křižíkova u č.pop. 2860/16\, ve směru od ul. Bachmačská) ,361/2000,125f,1,,,pokuta
0958,2023-12-07, (dvorní část poblíž domu č. pop. 768/95) ,361/2000,125f,1,,,pokuta
0981,2023-12-09,  ,361/2000,125f,1,,,pokuta
0970,2023-12-07,  ,361/2000,125f,1,,,pokuta
0978,2023-12-08,  ,361/2000,125f,1,,,pokuta
0944,2023-12-06,  ,361/2000,125f,1,,,pokuta
0900,2023-12-05,  ,361/2000,125f,1,,,pokuta
0889,2023-12-04, (křižovatka s ul. Svornosti\, ve směru od ul. Husarova) ,361/2000,125f,1,,,pokuta
1424,2024-01-17,  ,56/2001,83,1,b),,pokuta
1618,2024-01-11, v Ostravě na ulici Nákupní ve směru jízdy od ulice Výškovická ,361/2000,125c,1,i),3,pokuta
1618,2024-01-11, v Ostravě na ulici Nákupní ve směru jízdy od ulice Výškovická ,361/2000,125c,1,k),,pokuta
1743,2023-12-12, v Ostravě na ulici Nemocniční v areálu MN Ostrava ,361/2000,125c,1,i),2,pokuta
1743,2023-12-12, v Ostravě na ulici Nemocniční v areálu MN Ostrava ,361/2000,125c,1,k),,pokuta
1744,2023-12-21, v Ostravě na ulici Horní 120 ,361/2000,125c,1,f),5,pokuta
1744,2023-12-21, v Ostravě na ulici Horní 120 ,361/2000,125c,1,i),2,pokuta
1744,2023-12-21, v Ostravě na ulici Horní 120 ,361/2000,125c,1,i),4,pokuta
1956,2023-12-15, v Ostravě na ulici Švermova poblíž autobusové zastávky Uhelné sklady ,361/2000,125c,1,f),7,pokuta
1956,2023-12-15, v Ostravě na ulici Švermova poblíž autobusové zastávky Uhelné sklady ,361/2000,125c,1,k),,pokuta
1994,2023-09-12, ve Vratimově na ulici Buničitá poblíž domu č.p.1145 ,361/2000,125c,1,c),,pokuta
1994,2023-09-12, ve Vratimově na ulici Buničitá poblíž domu č.p.1145 ,361/2000,125c,1,k),,pokuta
2040,2024-01-11, v Ostravě na ulici Frýdecká /směr Vratimov poblíž firmy Sariv s.r.o./ ,361/2000,125c,1,f),1,pokuta
2209,2023-11-22, v Ostravě na ulici Bílovecká x Nad Porubkou x Polanecká ,361/2000,125c,1,k),,pokuta
1295,2024-01-17,  ,56/2001,83a,1,d),,pokuta
1569,2024-01-05, na dálnici D 35\,284 km směr jízdy na Olomouc ,56/2001,83a,2,d),,pokuta
2750,2024-01-11, v Ostravě\, křižovatka ulic Nádražn íx Českobratrská ,361/2000,125c,1,f),5,pokuta
2752,2024-01-03, v Ostravě-Svinově na ulici Opavské ve směru na centrum ,361/2000,125c,1,k),,pokuta
1083,2023-12-11, (křižovatka s ul. Pivovarská) ,361/2000,125f,1,,,pokuta
1072,2023-12-10,  ,361/2000,125f,1,,,pokuta
1057,2023-12-09,  ,361/2000,125f,1,,,pokuta
1046,2023-12-09,  ,361/2000,125f,1,,,pokuta
1055,2023-12-09,  ,361/2000,125f,1,,,pokuta
1027,2023-12-08,  ,361/2000,125f,1,,,pokuta
1031,2023-12-09,  ,361/2000,125f,1,,,pokuta
1009,2023-12-07, Křižovatka s ul. Dvoŕákova ,361/2000,125f,1,,,pokuta
1034,2023-12-09, (před budovou MŠ J. Maluchy) ,361/2000,125f,1,,,pokuta
1008,2023-12-07,  ,361/2000,125f,1,,,pokuta
2761,2024-01-09, v Ostravě na ulici Rudná\, ve směru jízdy od ulice Vratimovská k ulici Frýdecká ,361/2000,125c,1,f),14,pokuta
2767,2024-01-02, v Karviné na nám.Budovatelů 1339 ,168/1999,16,1,,,pokuta
